MST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover
7/8/14	105	96	86	66	62	57	48	35	22	29.92	29.8	29.71	10	10	10	28	8	33	T	6
7/9/14	101	92	83	68	62	57	55	41	27	29.9	29.83	29.73	10	10	9	17	7	22	T	6
7/10/14	105	96	87	64	60	55	46	35	23	29.85	29.77	29.68	10	10	10	20	8	27	0	4
7/11/14	107	98	88	64	53	39	46	30	13	29.89	29.78	29.7	10	10	10	21	8	25	0	4
7/12/14	110	99	88	61	54	39	40	26	11	29.84	29.79	29.71	10	10	10	20	8	24	0	6
7/13/14	110	95	80	72	62	55	44	31	18	29.96	29.81	29.7	10	10	4	41	11	56	0.03	6
7/14/14	103	92	81	70	66	62	69	48	27	29.99	29.9	29.81	10	10	10	28	7	34	0.02	6
7/15/14	103	95	86	68	64	59	50	39	28	29.97	29.88	29.78	10	10	10	25	7	30	T	6
7/16/14	107	96	84	66	58	49	55	35	15	29.86	29.78	29.68	10	10	10	23	7	29	0	3
7/17/14	105	96	86	62	45	33	42	26	9	29.89	29.76	29.7	10	10	10	17	7	22	0	3
7/18/14	105	94	83	46	41	36	27	19	11	29.93	29.81	29.73	10	10	10	18	6	21	0	3
7/19/14	104	96	88	50	46	41	24	19	13	29.94	29.82	29.73	10	10	10	16	7	20	T	4
7/20/14	106	96	85	40	37	33	18	14	9	29.95	29.83	29.75	10	10	10	14	6	19	0	3
7/21/14	107	96	85	49	41	36	25	17	9	29.93	29.86	29.79	10	10	10	15	6	22	0	2
7/22/14	113	101	89	51	48	43	27	19	10	29.89	29.82	29.73	10	10	10	18	7	23	0	3
7/23/14	114	104	94	61	54	48	27	20	13	29.9	29.78	29.68	10	10	10	25	7	28	0	6
7/24/14	116	105	93	64	53	39	39	24	8	29.83	29.72	29.62	10	10	10	21	10	26	T	5
7/25/14	109	98	87	65	62	58	46	33	20	29.86	29.8	29.7	10	9	2	32	11	46	T	5
7/26/14	108	96	83	65	61	57	55	38	20	29.89	29.81	29.68	10	10	4	31	10	38	T	5
7/27/14	104	94	83	67	60	54	51	36	20	30	29.88	29.75	10	10	4	26	11	32	T	6
7/28/14	107	96	85	63	58	54	43	31	18	29.99	29.9	29.81	10	10	10	16	7	21	0	5
7/29/14	110	101	92	59	56	50	32	24	16	29.94	29.83	29.73	10	10	10	20	8	24	0	3
7/30/14	111	102	92	56	52	47	30	21	12	29.83	29.76	29.69	10	10	10	16	5	20	0	2
7/31/14	109	98	87	64	55	52	34	25	16	29.91	29.8	29.7	10	10	10	28	8	34	T	5
8/1/14	99	90	81	70	63	57	63	45	27	29.99	29.86	29.76	10	10	10	29	7	33	T	7
8/2/14	102	90	78	72	65	61	76	49	29	29.94	29.87	29.79	10	10	10	24	10	32	T	7
8/3/14	103	92	80	70	65	55	69	45	21	29.96	29.86	29.75	10	10	10	23	8	28	T	5
8/4/14	105	92	79	68	59	51	71	44	17	29.94	29.84	29.74	10	10	10	18	6	23	0	2
8/5/14	105	94	83	58	52	36	40	26	11	29.96	29.84	29.78	10	10	10	16	6	22	0	1
8/6/14	108	96	84	54	42	32	31	20	9	29.93	29.81	29.73	10	10	10	18	6	26	0	1
8/7/14	105	94	82	53	41	35	26	18	9	29.92	29.79	29.72	10	10	10	16	7	24	0	1
8/8/14	105	95	85	61	47	41	33	23	13	29.91	29.8	29.7	10	10	10	22	8	26	0	1
8/9/14	104	94	84	63	56	48	48	33	17	29.92	29.82	29.72	10	10	10	21	9	24	T	5
8/10/14	104	94	84	65	58	53	51	35	19	29.94	29.83	29.73	10	10	10	20	8	26	0	3
8/11/14	109	98	87	62	58	54	43	30	17	29.89	29.81	29.73	10	10	10	28	7	33	0	5
8/12/14	98	88	77	75	67	57	85	58	30	29.97	29.87	29.77	10	9	2	30	8	36	0.44	7
8/13/14	95	84	73	73	69	66	87	63	39	29.98	29.89	29.81	10	10	10	15	5	18	0.11	5
8/14/14	102	93	83	73	67	61	70	49	27	29.95	29.85	29.75	10	10	10	24	8	29	0	3
8/15/14	104	94	83	66	62	57	55	39	23	29.97	29.85	29.75	10	10	10	18	6	24	0	1
8/16/14	106	97	87	68	63	57	53	38	22	29.97	29.84	29.74	10	10	10	18	8	22	0	2
8/17/14	109	99	88	68	60	48	50	34	17	29.9	29.8	29.66	10	10	7	31	10	37	T	3
8/18/14	98	91	83	66	63	59	55	43	31	29.91	29.8	29.71	10	10	10	20	7	27	T	6
8/19/14	91	83	74	73	67	59	79	62	44	29.87	29.79	29.72	10	8	2	28	8	34	0.43	6
8/20/14	98	87	75	69	61	52	82	52	22	29.88	29.81	29.72	10	10	10	18	7	25	0	3
8/21/14	90	81	71	68	61	56	84	58	32	30.02	29.89	29.8	10	10	2	31	8	40	0.19	6
8/22/14	93	83	72	67	63	57	84	59	34	29.95	29.88	29.81	10	10	10	13	4	17	0	3
8/23/14	97	87	76	64	57	52	60	41	22	29.93	29.81	29.73	10	10	10	13	5	18	0	2
8/24/14	103	91	79	61	55	45	51	34	16	29.84	29.76	29.67	10	10	10	16	7	22	0	1
8/25/14	101	92	83	65	59	52	51	36	21	29.91	29.81	29.73	10	10	10	23	7	27	0	5
8/26/14	100	90	80	67	63	56	62	43	24	29.94	29.87	29.78	10	10	10	16	7	19	0	3
8/27/14	103	93	83	64	59	50	51	35	19	30	29.9	29.82	10	10	10	16	7	21	0	2
8/28/14	106	95	83	62	52	40	48	30	11	29.92	29.8	29.71	10	10	10	16	6	20	0	1
8/29/14	108	96	83	52	44	36	32	21	9	29.83	29.72	29.63	10	10	10	14	6	20	0	0
8/30/14	111	97	83	50	44	37	27	18	9	29.81	29.69	29.62	10	10	10	17	6	31	0	1
8/31/14	109	96	83	51	44	36	29	19	9	29.82	29.7	29.63	10	10	10	15	8	20	0	2
9/1/14	108	95	81	48	44	39	33	22	11	29.84	29.72	29.64	10	10	10	13	6	16	0	1
9/2/14	109	96	82	53	44	39	31	21	11	29.83	29.7	29.6	10	10	10	12	5	17	0	0
9/3/14	108	96	84	54	47	41	32	22	11	29.78	29.63	29.53	10	10	10	12	5	14	0	2
9/4/14	107	95	83	64	56	47	48	33	17	29.81	29.65	29.55	10	10	7	24	8	32	T	5
9/5/14	101	91	80	64	60	56	58	41	24	29.92	29.81	29.75	10	10	10	14	6	17	0	1
9/6/14	105	96	86	66	63	57	51	37	23	29.93	29.82	29.71	10	8	1	30	10	38	0	4
9/7/14	104	94	84	67	63	58	51	38	25	29.87	29.77	29.66	10	10	10	22	8	27	0	4
9/8/14	90	81	71	73	72	69	93	70	47	29.92	29.85	29.77	10	7	1	29	8	37	3.29	7
9/9/14	92	86	79	73	69	64	79	62	44	29.92	29.83	29.78	10	10	10	20	6	24	T	6
9/10/14	97	88	79	73	65	52	85	54	23	29.92	29.8	29.74	10	10	10	10	4	14	0	3
9/11/14	100	90	79	66	60	53	58	40	22	29.83	29.75	29.68	10	10	10	12	6	17	0	0
9/12/14	104	91	78	63	57	52	54	36	18	29.84	29.72	29.64	10	10	10	16	6	22	0	1
9/13/14	100	92	83	61	57	55	44	34	23	29.82	29.75	29.68	10	10	10	22	10	28	0	1
9/14/14	102	92	81	61	57	55	47	35	23	29.8	29.74	29.67	10	10	10	16	6	20	0	0
9/15/14	105	96	87	67	58	56	39	30	21	29.87	29.76	29.69	10	10	10	16	7	21	0	3
9/16/14	92	86	80	70	65	62	69	54	38	29.92	29.82	29.77	10	10	10	21	10	28	0.01	7
9/17/14	89	84	78	72	68	64	69	60	50	29.81	29.73	29.68	10	10	4	18	8	23	0.14	6
9/18/14	96	86	76	67	64	61	69	51	33	29.79	29.69	29.63	10	10	10	13	5	16	0	1
9/19/14	98	90	82	71	63	54	69	48	26	29.78	29.72	29.67	10	10	10	13	5	17	0	3
9/20/14	99	90	81	70	65	62	63	48	33	29.87	29.78	29.72	10	10	10	17	5	20	0	4
9/21/14	99	90	80	69	57	48	69	45	20	29.94	29.83	29.77	10	10	10	12	5	18	0	2
9/22/14	101	91	80	59	52	44	49	33	17	29.96	29.86	29.79	10	10	10	16	6	19	0	2
9/23/14	102	90	77	58	51	40	48	30	12	29.91	29.83	29.75	10	10	10	14	5	21	0	1
9/24/14	104	91	77	55	48	43	42	28	14	29.87	29.8	29.72	10	10	10	10	4	17	0	1
9/25/14	103	92	81	60	56	49	46	32	17	29.88	29.8	29.73	10	10	10	12	5	15	0	1
9/26/14	101	92	82	67	64	57	55	43	31	29.85	29.77	29.7	10	10	9	22	6	27	0	2
9/27/14	95	82	69	70	67	61	93	65	36	29.78	29.71	29.58	10	7	0	54	11	66	1.64	7
9/28/14	87	79	71	70	58	47	87	58	28	29.81	29.77	29.72	10	10	10	16	6	21	0.02	2
9/29/14	89	78	67	61	51	38	81	50	18	29.85	29.8	29.76	10	10	10	10	4	12	0	0
9/30/14	89	78	66	54	47	33	63	39	15	29.83	29.77	29.7	10	10	10	13	5	16	0	0
10/1/14	91	79	67	53	46	36	55	36	16	29.79	29.75	29.7	10	10	10	14	5	16	0	0
10/2/14	92	81	69	56	42	32	57	35	12	30.02	29.91	29.81	10	10	10	17	6	23	0	0
10/3/14	99	83	67	47	36	26	37	23	8	30.01	29.94	29.88	10	10	10	15	5	20	0	2
10/4/14	99	84	69	53	41	29	53	25	9	29.95	29.88	29.8	10	10	10	12	4	15	0	1
10/5/14	96	83	69	50	45	33	44	29	13	29.91	29.84	29.78	10	10	10	13	5	14	0	0
10/6/14	93	82	70	54	47	40	44	30	16	29.91	29.85	29.81	10	10	10	13	5	14	0	6
10/7/14	90	81	72	55	48	44	53	38	22	29.92	29.86	29.81	10	10	10	14	6	16	0	7
10/8/14	82	76	69	65	60	51	84	55	26	29.88	29.82	29.76	10	10	8	17	7	21	0.05	7
10/9/14	84	77	70	66	61	57	90	67	43	29.87	29.83	29.8	10	10	10	14	6	18	T	5
10/10/14	89	79	69	63	61	56	78	56	34	29.95	29.89	29.84	10	10	10	10	6	14	0	2
10/11/14	92	81	70	64	59	52	73	50	26	29.95	29.87	29.81	10	10	10	9	5	13	0	1
10/12/14	94	82	70	61	50	31	73	44	15	29.84	29.77	29.7	10	10	10	20	8	24	0	1
10/13/14	90	78	65	41	30	23	37	23	9	30	29.93	29.83	10	10	10	17	6	22	0	0
10/14/14	94	80	65	47	37	30	36	25	13	30.02	29.9	29.81	10	10	10	13	5	17	0	0
10/15/14	90	80	69	49	43	38	40	28	16	29.9	29.84	29.81	10	10	9	10	4	17	0	5
10/16/14	92	80	67	54	47	37	59	37	15	29.91	29.84	29.79	10	10	10	9	4	15	0	4
10/17/14	89	80	71	52	48	45	44	33	22	29.93	29.82	29.78	10	10	10	21	5	24	T	5
10/18/14	90	79	68	51	47	42	55	37	19	29.82	29.75	29.69	10	10	10	12	4	14	0	4
10/19/14	94	82	69	60	52	49	57	40	23	29.82	29.76	29.67	10	10	8	26	5	33	0.08	4
10/20/14	90	78	66	59	53	46	78	51	23	29.88	29.81	29.75	10	10	10	14	4	16	0	0
10/21/14	91	80	69	55	52	49	53	39	24	29.86	29.79	29.73	10	10	10	12	5	15	0	2
10/22/14	93	80	67	55	52	46	59	40	21	29.92	29.86	29.8	10	10	10	10	3	13	0	1
10/23/14	94	81	67	54	50	45	57	39	20	30	29.92	29.87	10	10	10	9	3	12	0	1
10/24/14	96	82	68	53	48	43	47	32	16	30.02	29.94	29.88	10	10	10	14	4	15	0	0
10/25/14	96	83	70	55	49	47	47	33	19	29.98	29.9	29.83	10	10	10	14	6	15	0	2
10/26/14	89	80	71	56	54	50	53	42	30	29.88	29.8	29.73	10	10	10	12	4	16	0	5
10/27/14	88	80	71	57	50	41	61	41	21	29.87	29.79	29.72	10	10	10	13	5	14	0	2
10/28/14	88	77	65	49	46	41	52	37	21	29.99	29.93	29.87	10	10	10	9	4	18	0	0
10/29/14	91	78	64	49	45	40	52	35	17	30.02	29.95	29.89	10	10	10	9	4	13	0	0
10/30/14	94	79	64	50	43	37	49	32	15	30	29.91	29.85	10	10	10	12	3	14	0	3
10/31/14	95	81	67	52	45	41	47	32	16	29.88	29.8	29.7	10	10	10	16	6	21	0	2
11/1/14	83	76	69	58	54	43	61	50	38	29.84	29.78	29.74	10	10	10	20	7	24	0	4
11/2/14	73	67	60	41	36	32	39	32	25	29.94	29.88	29.83	10	10	10	18	9	24	0	4
11/3/14	75	64	53	38	32	23	51	34	16	30.03	29.98	29.94	10	10	10	18	6	22	0	1
11/4/14	81	67	53	35	27	19	50	31	11	30.11	30.03	29.96	10	10	10	18	7	25	0	0
11/5/14	85	73	60	33	27	20	27	19	11	30.1	30.04	29.97	10	10	10	21	6	25	0	0
11/6/14	86	73	60	39	30	25	29	21	12	30.23	30.14	30.06	10	10	10	17	7	21	0	0
11/7/14	84	72	59	41	36	33	46	32	17	30.15	30.05	29.95	10	10	10	10	5	14	0	0
11/8/14	90	74	58	40	36	28	46	29	11	30.08	30	29.93	10	10	10	9	4	12	0	0
11/9/14	87	74	61	43	39	35	46	31	16	29.98	29.86	29.74	10	10	10	15	4	20	0	1
11/10/14	84	72	59	42	38	33	47	32	16	29.81	29.75	29.7	10	10	10	14	6	18	0	1
11/11/14	84	71	58	47	42	37	47	35	23	29.87	29.81	29.75	10	10	10	12	6	15	0	1
11/12/14	80	70	60	49	46	44	60	44	28	29.91	29.85	29.81	10	10	10	12	5	20	0	2
11/13/14	80	71	61	53	49	45	60	47	33	30.01	29.93	29.88	10	10	10	13	6	19	0	5
11/14/14	73	67	61	52	51	49	72	58	44	29.94	29.89	29.85	10	10	10	13	6	21	0	5
11/15/14	77	67	57	53	50	48	80	58	36	30.01	29.91	29.83	10	10	10	12	6	17	0	2
